OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1168,2020-006AE,2026-05-15T11:50:05.110944,15.33131359,.00018285,53.1580,307.3249,273.8729,86.2064,0,U,45072,999,34710,.88598089E-3,.28495E-3,0
STARLINK-1172,2020-006AG,2026-05-16T04:08:22.836192,15.36307375,.0002237,53.1551,302.8803,209.3822,150.7056,0,U,45074,999,34722,.10258481E-2,.36636E-3,0
STARLINK-1153,2020-006AN,2026-05-16T10:39:34.529760,15.35394187,.0003107,53.1593,302.0221,225.1096,134.9656,0,U,45080,999,34726,.15147511E-2,.52822E-3,0
STARLINK-1151,2020-006AP,2026-05-16T14:59:05.934336,15.74476833,.00024491,53.0515,263.9493,261.8275,98.2466,0,U,45081,999,34779,.47115796E-3,.69829E-3,0
STARLINK-1185,2020-006AV,2026-05-16T09:09:48.722688,15.43499907,.00025052,53.1606,283.7588,293.4455,66.6288,0,U,45087,999,34751,.13495083E-2,.61509E-3,0
STARLINK-1183,2020-006AW,2026-05-16T10:44:41.826912,15.33090455,.00019581,53.1604,287.4584,301.4023,58.6788,0,U,45088,999,34746,.1556252E-2,.50417E-3,0
STARLINK-1152,2020-006BE,2026-05-16T13:30:27.470016,15.46275535,.00028379,53.0354,244.3308,11.3160,348.7909,0,U,45096,999,34806,.64550313E-3,.32008E-3,0
STARLINK-1184,2020-006BG,2026-05-15T21:30:17.613216,15.13302007,.00026868,53.0535,301.1397,342.9090,17.1812,0,U,45098,999,34720,.93139915E-3,.16513E-3,0
STARLINK-1193,2020-006BJ,2026-05-16T15:17:21.611616,15.65686198,.00034899,53.0488,258.8770,242.3442,117.7218,0,U,45100,999,34786,.4347319E-3,.44398E-3,0
STARLINK-1143,2020-012B,2026-05-16T02:21:37.414080,15.81042693,.00010313,53.0395,355.7495,284.7965,75.2942,0,U,45179,999,34652,.8322156E-3,.168125E-2,0
STARLINK-1202,2020-012F,2026-05-16T14:02:41.667936,15.32855785,.00030685,53.1569,83.5398,81.8434,278.2916,0,U,45183,999,34535,.8218793E-3,.2617E-3,0
STARLINK-1216,2020-012H,2026-05-16T13:38:30.649056,15.33126252,.00033259,53.1577,83.5157,89.5124,270.6259,0,U,45185,999,34529,.82548485E-3,.26515E-3,0
STARLINK-1225,2020-012K,2026-05-16T05:46:13.870848,15.33050304,.00027796,53.1579,85.5031,85.2272,274.9047,0,U,45187,999,34528,.12382729E-2,.39934E-3,0
STARLINK-1230,2020-012M,2026-05-16T13:49:58.365408,15.32998030,.00035868,53.1563,83.9965,85.2523,274.8888,0,U,45189,999,34256,.69930735E-3,.22301E-3,0
STARLINK-1234,2020-012N,2026-05-16T14:56:05.918208,15.71304997,.00073264,53.0408,350.6567,150.0494,210.0943,0,U,45190,999,34653,.46135916E-3,.59656E-3,0
STARLINK-1269,2020-012V,2026-05-16T13:44:12.122592,15.33035608,.00031645,53.1571,83.8685,58.7282,301.4029,0,U,45197,999,34531,.77361368E-3,.24747E-3,0
STARLINK-1154,2020-012W,2026-05-16T10:45:59.433120,15.56573334,.0002749,53.0431,44.0534,48.9210,311.2038,0,U,45198,999,34581,.73228815E-3,.52839E-3,0
STARLINK-1199,2020-012Z,2026-05-16T13:01:46.606656,15.33009608,.00026719,53.1579,68.2676,100.5960,259.5343,0,U,45201,999,34555,.76861416E-3,.24563E-3,0
STARLINK-1209,2020-012AE,2026-05-16T04:43:54.976512,15.62560530,.00105162,53.0394,5.9836,141.8541,218.3218,0,U,45206,999,34543,.10336014E-2,.94728E-3,0
STARLINK-1231,2020-012AL,2026-05-16T11:48:56.789280,15.26368516,.00041436,53.0376,62.9914,38.0797,322.0493,0,U,45212,999,34556,.11779427E-2,.30822E-3,0
STARLINK-1271,2020-012AR,2026-05-16T13:01:38.815968,15.33103358,.00022226,53.1591,68.4132,86.8942,273.2314,0,U,45217,999,34555,.83542111E-3,.26818E-3,0
STARLINK-1191,2020-012AW,2026-05-16T10:45:59.459904,15.36828860,.00047568,53.1562,42.4715,110.0687,250.0829,0,U,45222,999,34591,.8813945E-3,.31947E-3,0
STARLINK-1212,2020-012AX,2026-05-16T13:21:02.840832,15.64816310,.00043139,53.0419,20.0741,85.7792,274.3715,0,U,45223,999,34622,.44435558E-3,.43835E-3,0
STARLINK-1215,2020-012AZ,2026-05-16T05:13:11.670816,15.33244709,.00023982,53.1580,44.2131,126.4274,233.6949,0,U,45225,999,34582,.10563939E-2,.34197E-3,0
